Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS5-1/2X5-1/2X.188,HSS5-1/2X5-1/2X3/16,–,13.25,0.000,3.63,–,–,5.50,4.98,–,–,–,5.50,4.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,28.6,–,28.6,–,17.0,7.19,6.17,2.16,17.0,7.19,6.17,2.16,–,–,–,26.7,–,9.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS139.7X139.7X4.8,HSS139.7X139.7X4.8,19.7,2340,–,–,140,126,–,–,–,140,126,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,28.6,–,28.6,–,7.08,118,101,54.9,7.08,118,101,54.9,–,–,–,11100,–,161,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS6X3X.250,HSS6X3X1/4,–,13.91,0.000,3.84,–,–,6.00,5.30,–,–,–,3.00,2.30,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,9.88,–,22.8,–,17.0,7.19,5.66,2.10,5.70,4.41,3.80,1.22,–,–,–,14.2,–,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS152.4X76.2X6.4,HSS152.4X76.2X6.4,20.7,2480,–,–,152,135,–,–,–,76.2,58.4,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,9.88,–,22.8,–,7.08,118,92.8,53.3,2.37,72.3,62.3,31.0,–,–,–,5910,–,121,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS5-1/2X5-1/2X.313,HSS5-1/2X5-1/2X5/16,–,21.21,0.000,5.85,–,–,5.50,4.63,–,–,–,5.50,4.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,15.9,–,15.9,–,25.9,11.3,9.43,2.11,25.9,11.3,9.43,2.11,–,–,–,42.2,–,15.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS139.7X139.7X7.9,HSS139.7X139.7X7.9,31.5,3770,–,–,140,118,–,–,–,140,118,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,15.9,–,15.9,–,10.8,185,155,53.6,10.8,185,155,53.6,–,–,–,17600,–,257,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS6X4X.375,HSS6X4X3/8,–,22.37,0.000,6.18,–,–,6.00,4.95,–,–,–,4.00,2.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,8.46,–,14.2,–,28.3,11.9,9.43,2.14,14.9,8.94,7.47,1.55,–,–,–,32.8,–,14.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS152.4X101.6X9.5,HSS152.4X101.6X9.5,33.2,3990,–,–,152,126,–,–,–,102,74.9,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,8.46,–,14.2,–,11.8,195,155,54.4,6.20,147,122,39.4,–,–,–,13700,–,233,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS6X6X.375,HSS6X6X3/8,–,27.48,0.000,7.58,–,–,6.00,4.95,–,–,–,6.00,4.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,39.5,15.8,13.2,2.28,39.5,15.8,13.2,2.28,–,–,–,64.6,–,22.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS152.4X152.4X9.5,HSS152.4X152.4X9.5,40.8,4890,–,–,152,126,–,–,–,152,126,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,16.4,259,216,57.9,16.4,259,216,57.9,–,–,–,26900,–,362,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS7X4X.375,HSS7X4X3/8,–,24.93,0.000,6.88,–,–,7.00,5.95,–,–,–,4.00,2.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,8.46,–,17.1,–,41.8,15.1,11.9,2.46,17.3,10.2,8.63,1.58,–,–,–,41.0,–,16.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS177.8X101.6X9.5,HSS177.8X101.6X9.5,37.0,4440,–,–,178,151,–,–,–,102,74.9,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,8.46,–,17.1,–,17.4,247,195,62.5,7.20,167,141,40.1,–,–,–,17100,–,275,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS7X7X.313,HSS7X7X5/16,–,27.59,0.000,7.59,–,–,7.00,6.13,–,–,–,7.00,6.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,21.1,–,21.1,–,56.1,18.9,16.0,2.72,56.1,18.9,16.0,2.72,–,–,–,89.7,–,26.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS177.8X177.8X7.9,HSS177.8X177.8X7.9,41.0,4900,–,–,178,156,–,–,–,178,156,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,21.1,–,21.1,–,23.4,310,262,69.1,23.4,310,262,69.1,–,–,–,37300,–,428,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS10X2X.313,HSS10X2X5/16,–,23.34,0.790,6.43,–,–,10.0,9.13,–,–,–,2.00,1.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,3.87,–,31.4,–,62.6,17.5,12.5,3.12,4.24,5.06,4.24,0.812,–,–,–,14.2,–,9.56,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS254X50.8X7.9,HSS254X50.8X7.9,34.7,4150,–,–,254,232,–,–,–,50.8,28.7,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,3.87,–,31.4,–,26.1,287,205,79.2,1.76,82.9,69.5,20.6,–,–,–,5910,–,157,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS12X2X.250,HSS12X2X1/4,–,22.42,0.040,6.17,–,–,12.0,11.3,–,–,–,2.00,1.30,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,5.58,–,48.5,–,86.9,20.1,14.5,3.75,4.41,5.08,4.41,0.845,–,–,–,15.1,–,9.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS304.8X50.8X6.4,HSS304.8X50.8X6.4,33.3,3980,–,–,305,287,–,–,–,50.8,33.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,5.58,–,48.5,–,36.2,329,238,95.3,1.84,83.2,72.3,21.5,–,–,–,6290,–,158,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS8X8X.375,HSS8X8X3/8,–,37.69,0.000,10.4,–,–,8.00,6.95,–,–,–,8.00,6.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,19.9,–,19.9,–,100,29.4,24.9,3.10,100,29.4,24.9,3.10,–,–,–,160,–,40.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS203.2X203.2X9.5,HSS203.2X203.2X9.5,56.0,6710,–,–,203,177,–,–,–,203,177,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,19.9,–,19.9,–,41.6,482,408,78.7,41.6,482,408,78.7,–,–,–,66600,–,667,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
