Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS2-1/2X2-1/2X.188,HSS2-1/2X2-1/2X3/16,–,5.59,0.000,1.54,–,–,2.50,1.98,–,–,–,2.50,1.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,11.4,–,11.4,–,1.35,1.32,1.08,0.937,1.35,1.32,1.08,0.937,–,–,–,2.25,–,1.86,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X63.5X4.8,HSS63.5X63.5X4.8,8.30,994,–,–,63.5,50.3,–,–,–,63.5,50.3,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,11.4,–,11.4,–,0.562,21.6,17.7,23.8,0.562,21.6,17.7,23.8,–,–,–,937,–,30.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3-1/2X3-1/2X.125,HSS3-1/2X3-1/2X1/8,–,5.61,0.000,1.54,–,–,3.50,3.15,–,–,–,3.50,3.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,27.2,–,27.2,–,2.90,1.93,1.66,1.37,2.90,1.93,1.66,1.37,–,–,–,4.58,–,2.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS88.9X88.9X3.2,HSS88.9X88.9X3.2,8.33,994,–,–,88.9,80.0,–,–,–,88.9,80.0,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,27.2,–,27.2,–,1.21,31.6,27.2,34.8,1.21,31.6,27.2,34.8,–,–,–,1910,–,43.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/4X2-1/4X.250,HSS2-1/4X2-1/4X1/4,–,6.26,0.000,1.74,–,–,2.25,1.55,–,–,–,2.25,1.55,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,6.66,–,6.66,–,1.13,1.28,1.01,0.806,1.13,1.28,1.01,0.806,–,–,–,1.96,–,1.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS57.2X57.2X6.4,HSS57.2X57.2X6.4,9.26,1120,–,–,57.2,39.4,–,–,–,57.2,39.4,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,6.66,–,6.66,–,0.470,21.0,16.6,20.5,0.470,21.0,16.6,20.5,–,–,–,816,–,30.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4X4X.125,HSS4X4X1/8,–,6.46,0.000,1.77,–,–,4.00,3.65,–,–,–,4.00,3.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,4.40,2.56,2.20,1.58,4.40,2.56,2.20,1.58,–,–,–,6.91,–,3.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS101.6X101.6X3.2,HSS101.6X101.6X3.2,9.59,1140,–,–,102,92.7,–,–,–,102,92.7,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,1.83,42.0,36.1,40.1,1.83,42.0,36.1,40.1,–,–,–,2880,–,57.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X3X.188,HSS3X3X3/16,–,6.87,0.000,1.89,–,–,3.00,2.48,–,–,–,3.00,2.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,2.46,1.97,1.64,1.14,2.46,1.97,1.64,1.14,–,–,–,4.03,–,2.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X76.2X4.8,HSS76.2X76.2X4.8,10.2,1220,–,–,76.2,63.0,–,–,–,76.2,63.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,1.02,32.3,26.9,29.0,1.02,32.3,26.9,29.0,–,–,–,1680,–,45.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X2-1/2X.250,HSS2-1/2X2-1/2X1/4,–,7.11,0.000,1.97,–,–,2.50,1.80,–,–,–,2.50,1.80,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,7.73,–,7.73,–,1.63,1.63,1.30,0.908,1.63,1.63,1.30,0.908,–,–,–,2.79,–,2.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X63.5X6.4,HSS63.5X63.5X6.4,10.5,1270,–,–,63.5,45.7,–,–,–,63.5,45.7,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,7.73,–,7.73,–,0.678,26.7,21.3,23.1,0.678,26.7,21.3,23.1,–,–,–,1160,–,38.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4-1/2X4-1/2X.125,HSS4-1/2X4-1/2X1/8,–,7.31,0.000,2.00,–,–,4.50,4.15,–,–,–,4.50,4.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,35.8,–,35.8,–,6.35,3.27,2.82,1.78,6.35,3.27,2.82,1.78,–,–,–,9.92,–,4.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS114.3X114.3X3.2,HSS114.3X114.3X3.2,10.9,1290,–,–,114,105,–,–,–,114,105,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,35.8,–,35.8,–,2.64,53.6,46.2,45.2,2.64,53.6,46.2,45.2,–,–,–,4130,–,72.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3-1/2X3-1/2X.188,HSS3-1/2X3-1/2X3/16,–,8.15,0.000,2.24,–,–,3.50,2.98,–,–,–,3.50,2.98,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,17.1,–,17.1,–,4.05,2.76,2.31,1.35,4.05,2.76,2.31,1.35,–,–,–,6.56,–,3.83,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS88.9X88.9X4.8,HSS88.9X88.9X4.8,12.1,1450,–,–,88.9,75.7,–,–,–,88.9,75.7,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,17.1,–,17.1,–,1.69,45.2,37.9,34.3,1.69,45.2,37.9,34.3,–,–,–,2730,–,62.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS5X5X.125,HSS5X5X1/8,–,8.16,0.000,2.23,–,–,5.00,4.65,–,–,–,5.00,4.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,40.1,–,40.1,–,8.80,4.07,3.52,1.99,8.80,4.07,3.52,1.99,–,–,–,13.7,–,5.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS127X127X3.2,HSS127X127X3.2,12.1,1440,–,–,127,118,–,–,–,127,118,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,40.1,–,40.1,–,3.66,66.7,57.7,50.5,3.66,66.7,57.7,50.5,–,–,–,5700,–,90.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X2-1/2X.313,HSS2-1/2X2-1/2X5/16,–,8.45,0.000,2.35,–,–,2.50,1.63,–,–,–,2.50,1.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,5.59,–,5.59,–,1.82,1.88,1.46,0.880,1.82,1.88,1.46,0.880,–,–,–,3.20,–,2.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X63.5X7.9,HSS63.5X63.5X7.9,12.5,1520,–,–,63.5,41.4,–,–,–,63.5,41.4,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,5.59,–,5.59,–,0.758,30.8,23.9,22.4,0.758,30.8,23.9,22.4,–,–,–,1330,–,44.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
