Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS3X1X.125,HSS3X1X1/8,–,3.05,0.010,0.840,–,–,3.00,2.65,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,22.9,–,0.817,0.728,0.545,0.987,0.138,0.325,0.276,0.405,–,–,–,0.408,–,0.585,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X25.4X3.2,HSS76.2X25.4X3.2,4.53,542,–,–,76.2,67.3,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,22.9,–,0.340,11.9,8.93,25.1,0.0574,5.33,4.52,10.3,–,–,–,170,–,9.59,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1-1/2X.125,HSS2-1/2X1-1/2X1/8,–,3.05,0.000,0.840,–,–,2.50,2.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,18.6,–,0.668,0.671,0.535,0.892,0.300,0.469,0.399,0.597,–,–,–,0.687,–,0.759,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X38.1X3.2,HSS63.5X38.1X3.2,4.53,542,–,–,63.5,54.6,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,18.6,–,0.278,11.0,8.77,22.7,0.125,7.69,6.54,15.2,–,–,–,286,–,12.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X2X.125,HSS2X2X1/8,–,3.05,0.000,0.840,–,–,2.00,1.65,–,–,–,2.00,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,0.486,0.584,0.486,0.761,0.486,0.584,0.486,0.761,–,–,–,0.796,–,0.817,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X50.8X3.2,HSS50.8X50.8X3.2,4.53,542,–,–,50.8,41.9,–,–,–,50.8,41.9,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,0.202,9.57,7.96,19.3,0.202,9.57,7.96,19.3,–,–,–,331,–,13.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.5X.125,HSS2.500X0.125,–,3.17,0.120,0.869,–,–,–,–,2.50,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,21.6,0.619,0.660,0.495,0.844,0.619,0.660,0.495,0.844,–,–,–,1.24,–,0.990,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X3.2,HSS63.5X3.2,4.72,561,–,–,–,–,63.5,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,21.6,0.258,10.8,8.11,21.4,0.258,10.8,8.11,21.4,–,–,–,516,–,16.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.9X.188,HSS1.900X0.188,–,3.44,0.270,0.943,–,–,–,–,1.90,–,–,–,–,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,–,–,–,10.9,0.355,0.520,0.374,0.613,0.355,0.520,0.374,0.613,–,–,–,0.710,–,0.747,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS48.3X4.8,HSS48.3X4.8,5.12,608,–,–,–,–,48.3,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,10.9,0.148,8.52,6.13,15.6,0.148,8.52,6.13,15.6,–,–,–,296,–,12.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X1-1/2X.125,HSS3X1-1/2X1/8,–,3.48,0.040,0.956,–,–,3.00,2.65,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,22.9,–,1.06,0.895,0.706,1.05,0.355,0.550,0.474,0.610,–,–,–,0.886,–,0.920,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X38.1X3.2,HSS76.2X38.1X3.2,5.16,617,–,–,76.2,67.3,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,22.9,–,0.441,14.7,11.6,26.7,0.148,9.01,7.77,15.5,–,–,–,369,–,15.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X2X.125,HSS2-1/2X2X1/8,–,3.48,0.000,0.956,–,–,2.50,2.15,–,–,–,2.00,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,18.6,–,0.833,0.809,0.667,0.934,0.589,0.694,0.589,0.785,–,–,–,1.12,–,1.04,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X50.8X3.2,HSS63.5X50.8X3.2,5.16,617,–,–,63.5,54.6,–,–,–,50.8,41.9,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,14.2,–,18.6,–,0.347,13.3,10.9,23.7,0.245,11.4,9.65,19.9,–,–,–,466,–,17.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/4X2-1/4X.125,HSS2-1/4X2-1/4X1/8,–,3.48,0.000,0.956,–,–,2.25,1.90,–,–,–,2.25,1.90,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,0.712,0.755,0.633,0.863,0.712,0.755,0.633,0.863,–,–,–,1.15,–,1.05,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS57.2X57.2X3.2,HSS57.2X57.2X3.2,5.16,617,–,–,57.2,48.3,–,–,–,57.2,48.3,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,0.296,12.4,10.4,21.9,0.296,12.4,10.4,21.9,–,–,–,479,–,17.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.375X.154,HSS2.375X0.154,–,3.66,0.180,1.00,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.154,0.143,–,–,–,–,–,–,–,–,–,–,–,–,–,16.6,0.627,0.713,0.528,0.791,0.627,0.713,0.528,0.791,–,–,–,1.25,–,1.06,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X3.9,HSS60.3X3.9,5.44,645,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,3.91,3.63,–,–,–,–,–,–,–,–,–,–,–,–,–,16.6,0.261,11.7,8.65,20.1,0.261,11.7,8.65,20.1,–,–,–,520,–,17.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.875X.125,HSS2.875X0.125,–,3.67,0.010,1.01,–,–,–,–,2.88,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,24.8,0.958,0.884,0.667,0.976,0.958,0.884,0.667,0.976,–,–,–,1.92,–,1.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS73X3.2,HSS73X3.2,5.47,652,–,–,–,–,73.0,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,24.8,0.399,14.5,10.9,24.8,0.399,14.5,10.9,24.8,–,–,–,799,–,21.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
