Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS2.375X.188,HSS2.375X0.188,–,4.40,0.070,1.20,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,–,–,–,13.6,0.733,0.845,0.617,0.781,0.733,0.845,0.617,0.781,–,–,–,1.47,–,1.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X4.8,HSS60.3X4.8,6.54,774,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,13.6,0.305,13.8,10.1,19.8,0.305,13.8,10.1,19.8,–,–,–,612,–,20.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3.5X.125,HSS3.500X0.125,–,4.51,0.110,1.23,–,–,–,–,3.50,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,30.2,1.77,1.33,1.01,1.20,1.77,1.33,1.01,1.20,–,–,–,3.53,–,2.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS88.9X3.2,HSS88.9X3.2,6.71,794,–,–,–,–,88.9,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,30.2,0.737,21.8,16.6,30.5,0.737,21.8,16.6,30.5,–,–,–,1470,–,33.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X.152,HSS3.000X0.152,–,4.63,0.120,1.27,–,–,–,–,3.00,–,–,–,–,–,–,–,–,–,–,–,0.152,0.141,–,–,–,–,–,–,–,–,–,–,–,–,–,21.3,1.30,1.15,0.865,1.01,1.30,1.15,0.865,1.01,–,–,–,2.59,–,1.73,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X3.9,HSS76.2X3.9,6.89,819,–,–,–,–,76.2,–,–,–,–,–,–,–,–,–,–,–,3.86,3.58,–,–,–,–,–,–,–,–,–,–,–,–,–,21.3,0.541,18.8,14.2,25.7,0.541,18.8,14.2,25.7,–,–,–,1080,–,28.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.5X.188,HSS2.500X0.188,–,4.65,0.020,1.27,–,–,–,–,2.50,–,–,–,–,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,–,–,–,14.4,0.865,0.943,0.692,0.825,0.865,0.943,0.692,0.825,–,–,–,1.73,–,1.38,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X4.8,HSS63.5X4.8,6.91,819,–,–,–,–,63.5,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,14.4,0.360,15.5,11.3,21.0,0.360,15.5,11.3,21.0,–,–,–,720,–,22.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.375X.218,HSS2.375X0.218,–,5.03,0.070,1.39,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.218,0.203,–,–,–,–,–,–,–,–,–,–,–,–,–,11.7,0.824,0.960,0.694,0.771,0.824,0.960,0.694,0.771,–,–,–,1.65,–,1.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X5.5,HSS60.3X5.5,7.48,897,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,5.54,5.16,–,–,–,–,–,–,–,–,–,–,–,–,–,11.7,0.343,15.7,11.4,19.6,0.343,15.7,11.4,19.6,–,–,–,687,–,22.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4X.125,HSS4.000X0.125,–,5.18,0.000,1.42,–,–,–,–,4.00,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,34.5,2.67,1.75,1.34,1.37,2.67,1.75,1.34,1.37,–,–,–,5.34,–,2.67,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS101.6X3.2,HSS101.6X3.2,7.70,916,–,–,–,–,102,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,34.5,1.11,28.7,22.0,34.8,1.11,28.7,22.0,34.8,–,–,–,2220,–,43.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.875X.188,HSS2.875X0.188,–,5.40,0.220,1.48,–,–,–,–,2.88,–,–,–,–,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,–,–,–,16.5,1.35,1.27,0.941,0.957,1.35,1.27,0.941,0.957,–,–,–,2.70,–,1.88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS73X4.8,HSS73X4.8,8.04,955,–,–,–,–,73.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,16.5,0.562,20.8,15.4,24.3,0.562,20.8,15.4,24.3,–,–,–,1120,–,30.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X.188,HSS3.000X0.188,–,5.65,0.040,1.54,–,–,–,–,3.00,–,–,–,–,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,–,–,–,17.2,1.55,1.39,1.03,1.00,1.55,1.39,1.03,1.00,–,–,–,3.10,–,2.06,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X4.8,HSS76.2X4.8,8.41,994,–,–,–,–,76.2,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,17.2,0.645,22.8,16.9,25.4,0.645,22.8,16.9,25.4,–,–,–,1290,–,33.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.375X.250,HSS2.375X0.250,–,5.68,0.030,1.57,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,–,–,–,10.2,0.910,1.07,0.766,0.762,0.910,1.07,0.766,0.762,–,–,–,1.82,–,1.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X6.4,HSS60.3X6.4,8.45,1010,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,10.2,0.379,17.5,12.6,19.4,0.379,17.5,12.6,19.4,–,–,–,758,–,25.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.875X.203,HSS2.875X0.203,–,5.80,0.120,1.59,–,–,–,–,2.88,–,–,–,–,–,–,–,–,–,–,–,0.203,0.189,–,–,–,–,–,–,–,–,–,–,–,–,–,15.2,1.45,1.37,1.01,0.952,1.45,1.37,1.01,0.952,–,–,–,2.89,–,2.01,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS73X5.2,HSS73X5.2,8.63,1030,–,–,–,–,73.0,–,–,–,–,–,–,–,–,–,–,–,5.16,4.80,–,–,–,–,–,–,–,–,–,–,–,–,–,15.2,0.604,22.5,16.6,24.2,0.604,22.5,16.6,24.2,–,–,–,1200,–,32.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4.5X.125,HSS4.500X0.125,–,5.85,0.050,1.60,–,–,–,–,4.50,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,38.8,3.84,2.23,1.71,1.55,3.84,2.23,1.71,1.55,–,–,–,7.68,–,3.41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS114.3X3.2,HSS114.3X3.2,8.70,1030,–,–,–,–,114,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,38.8,1.60,36.5,28.0,39.4,1.60,36.5,28.0,39.4,–,–,–,3200,–,55.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
